groupLocationId,primaryLocationId,groupName,primaryHotspotName
G557384,L5859902,"Mt. Storm Lake","Mt. Storm Lake--Boat Launch"
G564910,L1543531,"Rivanna Trail","Greenbrier Park"
G589461,L333488,"Green Ribbon Trail","Four Mills Nature Reserve"
G943774,L1794313,"Luther Marsh","Luther Marsh (Wellington side)* general (use more precise loc.)"
G084513,L2481937,"The Danube Foreland Reserve","Beljarica--Jagodina-Petica i Balaton-Beljarica (PIO Forland leve obale Dunava kod Beograda)"
G438135,L3399008,"The Tamiš River Fish Farm Triangle","Baranđanske slatine--Slatina, Pečena slatina i Siget (threatened with conversion into a solar power plant)"
G460990,L2846269,"Labudovo okno Ramsar Site","Labudovo Okno NR--Dubovački rit"
G722633,L6128887,"Stara Planina National Park","Stara planina NP--Babin Zub"
G361963,L3631899,"Golija—Studenica Biosphere Reserve","Golija NR--Jankov Kamen"
G180052,L4935051,"Vlasina Nature Reserve","Vlasina Nature Reserve--Vlasinsko blato/peat bog (southern part)"
G868175,L7703483,"Sićevačka klisura Nature Park","Sićevačka klisura Nature Park--selo Sićevo"
G929563,L3086286,"Ovčar—Kablar Gorge Reserve","Ovčarsko-kablarska klisura (gorge)"
G146794,L20660102,"Gornje Podunavlje Special Nature Reserve","SRP Gornje Podunavlje--Crna Šuma"
G267057,L3220210,"Koviljsko—Petrovaradinski Rit Ramsar Site","Koviljsko-Petrovaradinski Rit NR--Petrovaradinski Rit (entry with reserve management permission only)"
G113120,L2207643,"Avala Mountain Reserve","Avala NR--mountain forest (central area)"
G909717,L723492,"West Virginia University","Core Arboretum"
G292825,L2832032,"Kučaj—Beljanica National Park","Kučaj-Beljanica National Park--Gornja Resava NR (kanjoni Resave i Suvaje/Kločanice, Vita Bukva, Osojak)"
G136705,L1548715,"Summersville Lake","Summersville Lake--Battle Run Area"
G533273,L964949,"Seneca Rocks","Seneca Rocks--Picnic Area and Visitor Center"
G692332,L3538139,"South Branch Potomac River","South Branch Potomac River--Stony River Run Fishing and Boating Access"
G465930,L17614775,"Stonecoal Lake Wildlife Management Area","Stonecoal Lake WMA (west)"
G152859,L16300315,"Cacapon River","Cacapon River--Cacapon Crossing Fishing and Boating Access"
G013301,L728887,"Dolly Sods Wilderness","Dolly Sods Wilderness--Bear Rocks Preserve"
G128776,L1294618,"Otter Creek Trail","Otter Creek Trailhead--Condon Run"
G331742,L20603817,"Allegheny Highlands Trail","Allegheny Highlands Trail of WV--Gilman Trailhead"
G882663,L3483113,"Karaš—Nera Reserve","Mali Pesak - Vračev Gaj, predeo izuzetnih odlika "Karaš-Nera" NR"
G526286,L1062379,"Hawks Nest State Park","Hawks Nest SP--Lodge"
G619291,L743404,"Coshocton Lake","Lake Park, Coshocton"
